ID,SMILES,mib_vol,LogP_Jchem,pKa_uncap
349,C(=N)(N(C)C[C@@H](N)C(=O)O)NC,165.161,-3.172389749,12.900818
353,C(=N)(N(CC[C@@H](N)C(=O)O)C)N,164.288,-3.399015663,12.68910271
359,C(=N)(N(C)[C@@H](C)[C@H](N)C(=O)O)N,164.073,-3.033806835,12.68901927
367,C(=N\C)(/N(C)C[C@H](N)C(=O)O)\N,165.009,-3.227363002,2.241598035
373,[C@H]1(CN[C@@H](N1)[C@@H](N)C(=O)O)CN,160.263,-4.766171606,1.875163792
379,[C@@H]1(CN[C@H](NC1)[C@@H](N)C(=O)O)N,160.263,-4.783837961,0.439611214
383,[C@@H]1(CN)NC[C@H](N1)[C@@H](N)C(=O)O,160.263,-4.927906348,2.356549011
389,[C@H]1(CNCN1)[C@H](N)[C@H](N)C(=O)O,160.263,-4.868796907,2.175344549
397,[C@@H]1(CN)NCN[C@@H]1[C@H](N)C(=O)O,160.263,-4.933439545,2.252639749
401,[C@@H]1(CNCN[C@@H]1[C@H](N)C(=O)O)N,160.263,-4.800433001,2.456154898
409,C1(NCCN1)[C@@H](N)[C@H](N)C(=O)O,160.263,-4.616666548,2.100548221
419,C1CNC(CN)(N1)[C@H](N)C(=O)O,159.913,-4.47075513,1.787750512
421,C1NCC(CN1)(N)[C@@H](N)C(=O)O,159.913,-4.857723241,2.478513326
431,C1NC[C@](CN)(N1)[C@H](N)C(=O)O,159.913,-4.911262072,2.35548204
433,C1CN[C@@H](NCN1)[C@H](N)C(=O)O,161.351,-4.347956317,1.700051382
439,C1NCN[C@@H](CN1)[C@@H](N)C(=O)O,161.351,-4.239029895,2.318261169
443,C1(NCNCN1)C[C@@H](N)C(=O)O,161.351,-3.66086561,2.295892308
449,C1NCNC(C)(N1)[C@@H](N)C(=O)O,160.786,-3.697891622,2.510266534
457,C1N(CNC(N1)[C@@H](N)C(=O)O)C,161.492,-3.521434851,1.055165284
461,C1N(C)[C@@H](NCN1)[C@@H](N)C(=O)O,161.492,-3.569674594,2.481011949
463,C1N(CNCN1)C[C@@H](N)C(=O)O,161.707,-3.781066102,2.420006945
467,[C@H]1([C@@H](N)[C@@H](NC1)[C@H](N)C(=O)O)N,159.175,-5.374711915,1.754548825
479,[C@H]1(CNC[C@@]1(N)[C@H](N)C(=O)O)N,158.825,-5.465757856,3.02513957
487,[C@@H]1(NCC[C@@]1(N)[C@H](N)C(=O)O)N,158.825,-5.055533156,2.658586174
491,C1=N[C@H](N[C@@H]1CN)[C@H](N)C(=O)O,154.319,-4.611920131,2.266515702
499,C1=N[C@H](NC[C@@H]1N)[C@@H](N)C(=O)O,154.319,-4.72372024,2.27498595
503,C1=NC[C@@H](N[C@@H]1N)[C@@H](N)C(=O)O,154.319,-4.679886864,2.049428602
509,C1=N[C@H](CN[C@@H]1N)[C@@H](N)C(=O)O,154.319,-4.74903169,1.745711763
521,C1=NCN[C@@H]1[C@H](N)[C@@H](N)C(=O)O,154.319,-4.654296403,1.737778449
523,C1=NCN[C@@H]([C@H]1N)[C@@H](N)C(=O)O,154.319,-4.708194291,2.044057861
541,C1=N[C@@H](NC1)[C@H](N)[C@@H](N)C(=O)O,154.319,-4.623006276,2.21458691
547,C1=N[C@@H](C[C@H](N1)[C@@H](N)C(=O)O)N,154.319,-3.735730792,1.469475633
557,C1=N[C@H](CN1)[C@H](N)[C@@H](N)C(=O)O,154.319,-4.309740902,1.862628157
563,C1=N[C@@H](CN)[C@@H](N1)[C@@H](N)C(=O)O,154.319,-4.279158171,1.955629433
569,C1=NC[C@@H](N1)[C@@H](N)[C@@H](N)C(=O)O,154.319,-4.300934898,1.862643227
571,C1=N[C@H]([C@H](CN)N1)[C@H](N)C(=O)O,154.319,-4.444861759,1.950023406
577,C1=NC[C@@H](N)[C@@H](N1)[C@H](N)C(=O)O,154.319,-4.14443629,1.919205001
587,C1=N[C@@H]([C@@H](CN1)N)[C@@H](N)C(=O)O,154.319,-4.146362576,1.919563292
593,C1=N[C@H](CN)N[C@@H]1[C@@H](N)C(=O)O,154.319,-4.778401192,2.32639266
599,C1(=N[C@@H](CN1)C[C@H](N)C(=O)O)N,154.293,-3.574577894,2.187533888
601,C1(=NC[C@H](N1)C[C@H](N)C(=O)O)N,154.293,-3.565223111,2.187741171
607,C1=N[C@]([C@@H](N1)N)(C)[C@@H](N)C(=O)O,153.754,-4.059355864,1.870002671
613,C1=N[C@@](CN)(NC1)[C@H](N)C(=O)O,153.969,-4.48866681,2.196581748
617,C1=NC[C@@](CN1)(N)[C@H](N)C(=O)O,153.969,-4.308320812,1.816301992
619,C1=NC[C@](CN)(N1)[C@H](N)C(=O)O,153.969,-4.474601689,1.893443638
631,C1=N[C@@](CN1)(CN)[C@H](N)C(=O)O,153.969,-4.365692436,1.871128993
641,C1=NCNC[C@@]1(N)[C@@H](N)C(=O)O,153.969,-4.606712804,1.84987306
643,C1=NCN[C@@]1(CN)[C@@H](N)C(=O)O,153.969,-4.661589479,1.894190666
647,C1=N[C@H](NCN1)C[C@@H](N)C(=O)O,155.407,-3.756611204,2.220643465
653,C1=NCN[C@@H](N1)C[C@@H](N)C(=O)O,155.407,-3.71477806,2.220941848
659,C1=NCN[C@H](NC1)[C@H](N)C(=O)O,155.407,-4.146302581,1.381130506
661,C1=N[C@H](NCNC1)[C@H](N)C(=O)O,155.407,-4.246152922,2.251378589
673,C1=NCCN[C@H](N1)[C@H](N)C(=O)O,155.407,-3.512001005,1.190591109
677,C1=N[C@@H](NCCN1)[C@@H](N)C(=O)O,155.407,-3.514039887,1.952299823
683,C1=NCN[C@@H](CN1)[C@@H](N)C(=O)O,155.407,-3.838553153,2.209531567
691,C1=NCNC[C@@H](N1)[C@@H](N)C(=O)O,155.407,-3.713996778,1.980355666
701,C1=NC[C@@H](NCN1)[C@@H](N)C(=O)O,155.407,-3.89578011,1.56140073
709,C1=N[C@@H](CNCN1)[C@@H](N)C(=O)O,155.407,-3.737920142,1.864469695
719,C1=NCNCN[C@H]1[C@@H](N)C(=O)O,155.407,-4.121960996,-5.242493466
727,C1=NCN[C@@](C)(N1)[C@H](N)C(=O)O,154.842,-3.373638661,1.958432875
733,C1=N[C@@](C)(NCN1)[C@H](N)C(=O)O,154.842,-3.416380596,1.954282943
739,C1=N[C@@H]([C@H]([C@@H]1N)N)[C@@H](N)C(=O)O,153.231,-5.274900967,2.470619093
743,C1=NC[C@]([C@@H]1N)(N)[C@@H](N)C(=O)O,152.881,-5.313152277,2.778461548
751,C1=NC[C@@H](N)[C@@]1(N)[C@@H](N)C(=O)O,152.881,-5.186388249,1.332935056
757,C1(=N[C@@H](NC1)[C@@H](N)C(=O)O)CN,154.293,-4.538852965,2.241741911
761,C1(=NC[C@H](N1)[C@@H](N)C(=O)O)CN,154.293,-4.482942271,1.956862574
769,C1(=N[C@H](CN1)[C@H](N)C(=O)O)CN,154.293,-4.468942939,1.951271827
773,C1(=N[C@@H](CNC1)[C@H](N)C(=O)O)N,154.293,-4.120553642,1.742708966
787,C1(=NCN[C@H](C1)[C@@H](N)C(=O)O)N,154.293,-3.838819442,2.210150525
797,C1(=NCNC1)[C@@H](N)[C@@H](N)C(=O)O,154.293,-4.329748706,1.419032335
809,C1(=NCN[C@@H]1[C@@H](N)C(=O)O)CN,154.293,-4.613115626,2.314419533
811,C1(=NCC[C@H](N1)[C@@H](N)C(=O)O)N,154.293,-3.542558989,2.047757277
821,C1(=N[C@H](CCN1)[C@@H](N)C(=O)O)N,154.293,-3.543270253,2.043469181
823,C1(=NC[C@H](CN1)[C@H](N)C(=O)O)N,154.293,-3.619592251,2.179014969
827,C1(=NCCN1)[C@@H](N)[C@H](N)C(=O)O,154.293,-4.153590733,1.499213298
829,C1(=NC[C@@](C)(N1)[C@H](N)C(=O)O)N,153.728,-3.323029809,2.03844961
839,C1(=N[C@@](CN1)(C)[C@H](N)C(=O)O)N,153.728,-3.322149051,2.033360234
853,C1(=NCN[C@@]1(C)[C@@H](N)C(=O)O)N,153.728,-3.482913509,1.968588411
857,C1(=NCN[C@H](N1)[C@H](N)C(=O)O)C,155.166,-3.370207656,1.955006783
859,C1(=N[C@H](NCN1)[C@@H](N)C(=O)O)C,155.166,-3.377649329,1.951324602
863,C1(=NC[C@H](N1)[C@@H](N)C(=O)O)NC,155.166,-3.324835999,2.03393967
877,C\1(=N\C)/NC[C@H](N1)[C@@H](N)C(=O)O,155.166,-3.323631239,2.03315169
881,C1(=N[C@H](CN1)[C@H](N)C(=O)O)NC,155.166,-3.324088988,2.028960491
883,C1(=NCNCN1)C[C@@H](N)C(=O)O,155.381,-3.639254665,1.982337593
887,C(=N\C=C)(/NC[C@@H](N)C(=O)O)\N,159.237,-2.985533377,2.175950344
907,C(=C)(C(=N)[C@H](N)[C@@H](N)C(=O)O)N,157.187,-4.764170279,1.858903785
911,C1(=N)N[C@@H](CN1)C[C@H](N)C(=O)O,154.445,-3.500162459,2.188637816
919,C1=NCN[C@H](N1C)[C@H](N)C(=O)O,155.548,-3.285111951,1.954122241
929,C1=N[C@H](NCN1C)[C@@H](N)C(=O)O,155.548,-3.296408576,1.951327984
937,C1=NCN(C)[C@H](N1)[C@H](N)C(=O)O,155.548,-3.195919189,1.954789339
941,C1=N[C@@H](N(CN1)C)[C@H](N)C(=O)O,155.548,-3.224490456,1.95116042
947,C1=NCNCN1C[C@H](N)C(=O)O,155.763,-3.648017327,1.975883287
953,C1=NCN(CN1)C[C@H](N)C(=O)O,155.763,-3.838411879,2.228991286
967,C\1(=N)/CN[C@@H](NC1)[C@H](N)C(=O)O,154.445,-4.45637937,-0.535149146
971,C1(=N)NCC[C@H](N1)[C@H](N)C(=O)O,154.445,-3.487177722,2.048513116
977,C\1(=N)/NC[C@@H](CN1)[C@H](N)C(=O)O,154.445,-3.557892216,2.179360539
983,C1(=N)NC[C@](C)(N1)[C@H](N)C(=O)O,153.88,-3.266605662,2.038070068
991,C1(=N)N(C)[C@@H](CN1)[C@H](N)C(=O)O,154.586,-3.284802842,2.032580043
997,C1(=N)N(CCN1)C[C@@H](N)C(=O)O,154.8,-3.345803747,2.042804387
1009,C1(=NC[C@@H](N1C)[C@@H](N)C(=O)O)N,154.434,-3.3405991,2.033155532
1013,C1(=N[C@@H](CN1C)[C@@H](N)C(=O)O)N,154.434,-3.339891327,2.028829533
1019,C(=N)(N[C@@H](C=C)[C@H](N)C(=O)O)N,158.3,-2.922483862,2.17643556
