ID,SMILES,vdW_vol,XLogP
N50,C([C@@H](C(O)=O)N)C1=CC=CS1,145.5487539,-2.317
LS25,C([C@@H](C(O)=O)N)C1=CC2=C(C=C1)C=CC=C2,199.6498028,-0.113
N44,C([C@@H](C(O)=O)N)C1=CC2=C(C=C1)N=CC=C2,193.3505784,-1.276
LS51,C([C@@H](C(O)=O)N)CCCNC(C)=O,190.0156188,-2.673
N51,C([C@@H](C(O)=O)N)CCCNC=O,172.7196342,-2.909
N110,C([C@@H](C(O)=O)N)OP(=O)(O)O,141.3733277,-5.185
LS32,C([C@@H](C(O)=O)O)C1=CC=C(O)C=C1,165.5789336,0.448
N16,C([C@@H](C(OC)=O)N)SCCCC(C)=O,214.8238673,0.374
LS36,C(=O)(C1=CC=C(C[C@@H](C(O)=O)N)C=C1)C2=CC=CC=C2,255.055066,0.175
LS30,C(C[C@@H](C(=O)O)N)CC(=O)N,155.4236496,-3.719
LS56,C(C[C@@H](C(=O)O)N)CS,139.4861608,-1.859
LS46,C(C[C@@H](C(O)=O)N)C=1C=2C(OC(=O)C1)=CC(O)=CC2,236.9204829,-0.799
N54,C(C[C@@H](C(O)=O)N)CCNC(C=C)=O,204.6751447,-2.381
LS3,C(CC(C)=O)(=O)C1=CC=C(C[C@@H](C(O)=O)N)C=C1,240.4867149,-1.456
N24,C(CCNC(CC[Se]CC[C@@H](C(O)=O)N)=O)C1(C)N=N1,289.0110719,-1.355
N81,C(CCNC(NCCCC[C@@H](C(O)=O)N)=O)C1(C)N=N1,277.1969206,-1.545
N23,C(CCOC(NCC[Se]C[C@@H](C(O)=O)N)=O)C1(C)N=N1,280.5053139,-1.372
N80,CC1(CCCOC(=O)NCCCC[C@H](N)C(=O)O)N=N1,274.990387,-1.014
LS57,C(CCS)C[C@@H](C(=O)O)N,156.7821454,-1.501
N55,C(CNC(/C=C/C)=O)CC[C@@H](C(O)=O)N,221.9711294,-1.857
N79,C(COC(NCCCC[C@@H](C(O)=O)N)=O)C1(C)N=N1,257.6944024,-1.372
LS44,C(F)(F)(F)C1(N=N1)C2=CC=C(C[C@@H](C(O)=O)N)C=C2,218.7904893,0.459
N83,C(F)(F)(F)C1(N=N1)C2=CC=C(COC(NCCCC[C@@H](C(O)=O)N)=O)C=C2,331.2111673,1.046
LS69,C(NCCCC[C@@H](C(O)=O)N)(=O)[C@@H]1CCCN1,240.5438742,-2.778
LS63,C(NCCCC[C@@H](C(O)=O)N)(=O)[C@@H]1CCOC1,238.3373407,-3.015
LS64,C(NCCCC[C@@H](C(O)=O)N)(=O)[C@H]1[C@H](C#C)CCO1,267.6563926,-2.644
LS59,C(NCCCC[C@@H](C(O)=O)N)(=O)[C@H]1[C@H](C)CC=N1,255.2034001,-2.529
N76,C(NCCCC[C@@H](C(O)=O)N)(=O)C1(C)C=C1,226.9106553,-1.797
N53,C(NCCCC[C@@H](C(O)=O)N)(C(F)(F)F)=O,208.2182954,-1.974
LS70,C(NCCCC[C@@H](C(O)=O)N)(CCC#C)=O,236.6306553,-2.417
N56,C(NCCCC[C@@H](C(O)=O)N)(CCCCBr)=O,261.1871917,-1.024
N57,C(NCCCC[C@@H](C(O)=O)N)(CCCCCBr)=O,278.4831763,-0.666
N59,C(NCCCC[C@@H](C(O)=O)N)(OC(C)(C)C)=O,250.6937994,-1.202
N61,C(NCCCC[C@@H](C(O)=O)N)(OCC#C)=O,228.1248974,-2.234
LS67,C(NCCCC[C@@H](C(O)=O)N)(OCC=C)=O,230.7613561,-1.887
N62,C(NCCCC[C@@H](C(O)=O)N)(OCCC#C)=O,245.420882,-2.076
N63,C(NCCCC[C@@H](C(O)=O)N)(OCCCC#C)=O,262.7168666,-1.718
LS71,C(NCCCC[C@@H](C(O)=O)N)(OCCN=[N+]=[N-])=O,243.8191934,-2.374
LS66,C(NCCCC[C@@H](C(O)=O)O)(OC(C)(C)C)=O,248.4872659,1.031
LS61,C(NCCCC[C@@H](C(OC)=O)N)(=O)C1CCCC1,264.1390833,1.158
N69,C(OC(N(CCCC[C@@H](C(O)=O)N)C)=O)C1=C(N(=O)=O)C=CC=C1,314.652658,-0.758
N72,C(OC(NCCCC[C@@H](C(O)=O)N)=O)(C)C1=C(N(=O)=O)C=C2C(=C1)OCO2,337.1726373,-0.885
