ID,SMILES,mib_vol,LogP_Jchem,pKa_uncap,Type
677,C1=N[C@@H](NCCN1)[C@@H](N)C(=O)O,155.407,-3.514039887,1.952299823,Computational
683,C1=NCN[C@@H](CN1)[C@@H](N)C(=O)O,155.407,-3.838553153,2.209531567,Computational
691,C1=NCNC[C@@H](N1)[C@@H](N)C(=O)O,155.407,-3.713996778,1.980355666,Computational
701,C1=NC[C@@H](NCN1)[C@@H](N)C(=O)O,155.407,-3.89578011,1.56140073,Computational
709,C1=N[C@@H](CNCN1)[C@@H](N)C(=O)O,155.407,-3.737920142,1.864469695,Computational
719,C1=NCNCN[C@H]1[C@@H](N)C(=O)O,155.407,-4.121960996,-5.242493466,Computational
727,C1=NCN[C@@](C)(N1)[C@H](N)C(=O)O,154.842,-3.373638661,1.958432875,Computational
733,C1=N[C@@](C)(NCN1)[C@H](N)C(=O)O,154.842,-3.416380596,1.954282943,Computational
739,C1=N[C@@H]([C@H]([C@@H]1N)N)[C@@H](N)C(=O)O,153.231,-5.274900967,2.470619093,Computational
743,C1=NC[C@]([C@@H]1N)(N)[C@@H](N)C(=O)O,152.881,-5.313152277,2.778461548,Computational
751,C1=NC[C@@H](N)[C@@]1(N)[C@@H](N)C(=O)O,152.881,-5.186388249,1.332935056,Computational
757,C1(=N[C@@H](NC1)[C@@H](N)C(=O)O)CN,154.293,-4.538852965,2.241741911,Computational
761,C1(=NC[C@H](N1)[C@@H](N)C(=O)O)CN,154.293,-4.482942271,1.956862574,Computational
769,C1(=N[C@H](CN1)[C@H](N)C(=O)O)CN,154.293,-4.468942939,1.951271827,Computational
773,C1(=N[C@@H](CNC1)[C@H](N)C(=O)O)N,154.293,-4.120553642,1.742708966,Computational
787,C1(=NCN[C@H](C1)[C@@H](N)C(=O)O)N,154.293,-3.838819442,2.210150525,Computational
797,C1(=NCNC1)[C@@H](N)[C@@H](N)C(=O)O,154.293,-4.329748706,1.419032335,Computational
809,C1(=NCN[C@@H]1[C@@H](N)C(=O)O)CN,154.293,-4.613115626,2.314419533,Computational
811,C1(=NCC[C@H](N1)[C@@H](N)C(=O)O)N,154.293,-3.542558989,2.047757277,Computational
821,C1(=N[C@H](CCN1)[C@@H](N)C(=O)O)N,154.293,-3.543270253,2.043469181,Computational
823,C1(=NC[C@H](CN1)[C@H](N)C(=O)O)N,154.293,-3.619592251,2.179014969,Computational
827,C1(=NCCN1)[C@@H](N)[C@H](N)C(=O)O,154.293,-4.153590733,1.499213298,Computational
829,C1(=NC[C@@](C)(N1)[C@H](N)C(=O)O)N,153.728,-3.323029809,2.03844961,Computational
839,C1(=N[C@@](CN1)(C)[C@H](N)C(=O)O)N,153.728,-3.322149051,2.033360234,Computational
853,C1(=NCN[C@@]1(C)[C@@H](N)C(=O)O)N,153.728,-3.482913509,1.968588411,Computational
857,C1(=NCN[C@H](N1)[C@H](N)C(=O)O)C,155.166,-3.370207656,1.955006783,Computational
859,C1(=N[C@H](NCN1)[C@@H](N)C(=O)O)C,155.166,-3.377649329,1.951324602,Computational
863,C1(=NC[C@H](N1)[C@@H](N)C(=O)O)NC,155.166,-3.324835999,2.03393967,Computational
877,C\1(=N\C)/NC[C@H](N1)[C@@H](N)C(=O)O,155.166,-3.323631239,2.03315169,Computational
881,C1(=N[C@H](CN1)[C@H](N)C(=O)O)NC,155.166,-3.324088988,2.028960491,Computational
883,C1(=NCNCN1)C[C@@H](N)C(=O)O,155.381,-3.639254665,1.982337593,Computational
